product,data_url,metadata_url
Canopy Height (m),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_ht_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_ht_1m_v1_metadata.xml
Canopy Segment Max height (m),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_segment_ht_max_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_segment_ht_max_1m_v2_metadata.xml
Canopy Segment ID,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_segment_ID_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_segment_ID_1m_v2_metadata.xml
Canopy Segment Max NDVI,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_segment_NDVI_max_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_canopy_segment_NDVI_max_1m_v2_metadata.xml
Corrected NEON Digital Elevation Model (m ASL),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dem_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dem_1m_v2_metadata.xml
Boundary-filled DEM (m ASL),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dem_filled_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dem_filled_1m_v1_metadata.xml
Boundary-filled DEM with Buildings (m ASL),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dem_filled_buildings_1m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dem_filled_buildings_1m_v1_metadata.xml
Corrected NEON Digital Surface Model (m ASL),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dsm_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dsm_1m_v2_metadata.xml
Corrected NEON Digital Surface Model with Buildings (m ASL),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dsm_buildings_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dsm_buildings_1m_v2_metadata.xml
Corrected Leaf-off Digital Surface Model (m ASL),https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dsm_leafoff_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_dsm_leafoff_1m_v2_metadata.xml
Gross Landcover,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_landcover_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_landcover_1m_v3_metadata.xml
"Bare-earth Potential Solar Radiation (Day of Year 80, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day080_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day080_3m_v1_metadata.xml
"Bare-earth Potential Solar Radiation (Day of Year 172, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day172_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day172_3m_v1_metadata.xml
"Bare-earth Potential Solar Radiation (Day of Year 265, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day265_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day265_3m_v1_metadata.xml
"Bare-earth Potential Solar Radiation (Day of Year 355, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day355_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_bareearth_day355_3m_v1_metadata.xml
"Sub-canopy Potential Solar Radiation (Day of Year 80, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day080_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day080_3m_v1_metadata.xml
"Sub-canopy Potential Solar Radiation (Day of Year 172, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day172_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day172_3m_v1_metadata.xml
"Sub-canopy Potential Solar Radiation (Day of Year 265, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day265_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day265_3m_v1_metadata.xml
"Sub-canopy Potential Solar Radiation (Day of Year 355, Wh/m^2)",https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day355_3m_v1.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/draft/UER_srad_subcanopy_day355_3m_v1_metadata.xml